,product_name,product_price,product_rating,sold_quantity,category_name,scraped_date,Product Price(USD),Product Price(GBP),Product Price(EUR),Product Price(INR)
50,Premium German Silver Wine Set | Axia Krafts,1550.0,3.0,0.0,Wines,12/05/2024,11.61,9.31,10.76,968.75
51,Dulzino Moscato Sweet White Wine  750ml,1700.0,0.0,0.0,Wines,12/05/2024,12.74,10.21,11.81,1062.5
52,Jacob's Creek Classic Chardonnay 750ML,1875.0,0.0,0.0,Wines,12/05/2024,14.05,11.26,13.02,1171.88
53,Lindemans Bin 45 Cabernet Sauvignon,2100.0,5.0,0.0,Wines,12/05/2024,15.73,12.61,14.58,1312.5
54,Lindeman's Bin 46 Sweet Red Wine - 750ML -By Cheers Online,1850.0,5.0,0.0,Wines,12/05/2024,13.86,11.11,12.85,1156.25
55,Palacio Del Campo Semi-Sweet Red Wine 750ml,1152.0,0.0,0.0,Wines,12/05/2024,8.63,6.92,8.0,720.0
56,Lindeman's Bin 99 Pinot Noir Red Wine - 750ML -By Cheers Online,2100.0,0.0,0.0,Wines,12/05/2024,15.73,12.61,14.58,1312.5
57,Jacob's Creek Classic Merlot 750ML,1875.0,0.0,0.0,Wines,12/05/2024,14.05,11.26,13.02,1171.88
58,Divine White Wine 750 Ml,730.0,4.0,0.0,Wines,12/05/2024,5.47,4.38,5.07,456.25
59,Big Master Mix Fruit White Wine -750ml,825.0,5.0,0.0,Wines,12/05/2024,6.18,4.95,5.73,515.62
60,"Calvet Bordeaux Merlot Cabernet Sauvignon Red Wine, 750ml -By Cheers Online",2000.0,4.3,0.0,Wines,12/05/2024,14.98,12.01,13.89,1250.0
61,Canvas Sweet White Wine 750Ml,895.0,5.0,0.0,Wines,12/05/2024,6.71,5.38,6.22,559.38
62,Lindeman's Bin 85 Pinot Grigio White Wine - 750ML -By Cheers Online,2100.0,5.0,0.0,Wines,12/05/2024,15.73,12.61,14.58,1312.5
63,Hardys Nottage Hill Chardonnay - 750 ml -By Cheers Online,1875.0,5.0,0.0,Wines,12/05/2024,14.05,11.26,13.02,1171.88
64,Lindeman's Bin 45 Cabernet Sauvignon Red Wine - 750ML -By Cheers Online,2100.0,4.5,0.0,Wines,12/05/2024,15.73,12.61,14.58,1312.5
65,Robertson Winery Natural Sweet White -750ml,1550.0,5.0,0.0,Wines,12/05/2024,11.61,9.31,10.76,968.75
66,Porto Valdouro Ruby Port Red Wine 750ml,2300.0,0.0,0.0,Wines,12/05/2024,17.23,13.81,15.97,1437.5
67,Big Master Prefect Fruit Red Wine 750Ml,850.0,5.0,0.0,Wines,12/05/2024,6.37,5.1,5.9,531.25
68,Canvas Box Sweet Red Wine 4L,3500.0,5.0,0.0,Wines,12/05/2024,26.22,21.02,24.31,2187.5
69,Hakodate Niagara - Japanese Wine  720ml,2410.0,4.0,0.0,Wines,12/05/2024,18.06,14.47,16.74,1506.25
70,Bottega Acino Chianti DOCG Red Wine 750ML -By Cheers Online,2300.0,4.0,0.0,Wines,12/05/2024,17.23,13.81,15.97,1437.5
71,Bottega Merlot IGT Trevenezie Red Wine 750ML -By Cheers Online,2300.0,5.0,0.0,Wines,12/05/2024,17.23,13.81,15.97,1437.5
72,Bottega Acino Chianti Classico DOCG Red Wine 750ML -By Cheers Online,4000.0,3.0,0.0,Wines,12/05/2024,29.97,24.02,27.78,2500.0
73,Porto Valdouro Tawny Port Wine 750ml,2500.0,0.0,0.0,Wines,12/05/2024,18.73,15.01,17.36,1562.5
